asker,responder,question,answer,Unnamed: 4,Unnamed: 5,Unnamed: 6,Clear,Assertive,Cautious,Optimistic,Specific,Relevant
Min Park,Gregory M. Spierkel ,"Goldman Sachs. Just a couple of questions please. First, while your North American revenue growth was better than the reported number after taking account the change in the accounting for warranty sales, what percent year-over-year is a bit closer than what you have been seeing more recently. Can you tell us if there is anything company specific that's causing the slowdown, is it more of a function of the macro environment?","We believe it's probably more a function of the overall macro environment. As I said before Min, we have seen relative softness in the Government and large corporate segments but we have seen relative strength as well in our retail business and also in our specialty units in the Avid division and in the data capture point of sale division as well. But I do believe that overall we are doing fairly well in the market, kind of maintaining our share there but it is a bit spotty in demand overall.",,,,,,,,,
Min Park,Gregory M. Spierkel ,"And following, you mentioned that you are seeing improvement in the month of June, as seeing a good tail wind in July. Can you tell us how North America exited the quarter and what you are seeing for that first month in the quarter?","Actually our comment on relative strength in June and the first part of July was related to Europe... our European business and in particular what we have been seeing in Germany. I think overall in North America... as the quarter progressed kind of as expected, we did see a bit more strength later on in the quarter but overall I would tell you it wasn't much different that what we would have expected to see.",,,,,,,,,
Min Park,Gregory M. Spierkel ,"Okay. And just lastly, can you help us understand what's happening with your margins in Europe? We would have expected you to deliver better margins year-over-year since you are not seeing HP's consolidation as the headwind this year?","Yes, and in Europe first of all I think we had a good performance overall in Europe. We had Spain and the UK and France actually perform well both on top line as well as their overall profitability performance. In Germany where we have been focused against recapture of market share we have had to apply additional resources against mitigation in service levels on warehouse management system, that is back to normal. But in addition that incremental costs just to regain market share back now we did see a recapture of most of that share late in the quarter in June. We do expect to see that going forward and in addition to that we do expect to see I guess a mitigation of some of the costs that we've had to expend in Germany, start the taper off through the second half of the year. But overall the activities in Germany did dampen overall margins for the business and in addition to that Italy and Hungry still represents opportunities for us.",,,,,,,,,
Matthew Sheerin,William D. Hume,Thomas Weisel Partners. Thanks. Just a follow-up on the question regarding your revenue guidance. Could you remind us the revenue run rate for DBL. I think it's around $300 million and will you see a full quarter's worth of that in the September quarter?,"Yeah, Matt this is Bill. Last year in 2006 DBL had about $300 million in revenue. It's growing in the mid teens essentially, I would expect on a year-over-year basis. So you can do the math on the individual quarterly, we won't disclose separately but it's roughly... it's pretty estimatable. And we acquired that right at the end of June, so what we ended up getting is all the balance sheet but really no P&L in the June quarter. And then so it will be basically a substantial... sequential increase.",,,,,,,,,
Matthew Sheerin,Gregory M. Spierkel,"Okay, so if you back that out your guidance still suggests that you are doing a little bit better than seasonal, it sounds like Europe is part of that because you are getting some market share back in Germany, does Asia continue to look strong for you going into the September quarter or is there some seasonality there?","It's Greg here, I would say Asia definitely is looking solid for rest of the record that we've had over the last three or four quarters which has been very healthy double digit growth that we believe is one that we can sustain, one because the market is doing well but two, as we feel very good about our performance there. The company has been I think growing significantly above market and there is nothing [indiscernible] healthy trajectory that we've had out of that region recently.",,,,,,,,,
Matthew Sheerin,Gregory M. Spierkel,"Great, could you just drill down a little bit more on why you have been so successful there in a relatively short period over the last few quarters or so by product area, market segment, and are you seeing increased competition or at some point any threats out there whether it be pricing or anything else?","It's been a function of first and foremost matter of us making the integration with tech specific work and work well. Lot of credit we've picked up I think what we thought was a very strong management team with very complementary products, in some cases, where we overlap each other too much, and different strengths from a product perspective, and a customer base. You know, clearly the momentum that we are seeing recently is a function of that good integration, which was significant in the countries like India and Australia, where we both had a very large operations, and we are finding ourselves in a situation where we have got very healthy growth across IT products, and telephony products interestingly enough out of India so we are managing, because of some new products, and a new product category to do very well with that there. And clearly there is a lot of growth and expansion capability in what's called upcountry in India, which is outside the major metropolitan areas and we have a very good footprint. We are in sales offices in over 40 cities and over 30 distribution points. So that gives us a huge advantage compared to maybe some of our competitors are not as strong, or as broad and can't invest as much as we can. So a lot of vendors, and a lot of opportunities coming to us as a result of the good work and the infrastructure we have put in place there. And I wouldn't want to lose sight either of two or three other things that are happening in the region. In some of the smaller countries, they just don't get the mention nearly as much, whether that is Singapore or Malaysia or Thailand or New Zealand, we are seeing our company operate at levels better than our competitors. Again because the portfolio what we call carrier is fairly broad, the vendor community is extremely supportive of us, and the last I mentioned is really also made a big difference in the last year, year and a half from where we here lets say two years ago, three years ago, is that our China business, as we have mentioned to the Street and to all of you on calls, we went through a very significant change there two years back. And in fact pulled back on the size of the operations to get good controls and systems in place, and we put a great foundation in place with... leading that change, and since that change over the last 6 to 8 quarters, we have had excellent growth. Again, same situation as India, the breath of the portfolio increasing, the breath of country, cities sorry and territories is increasing, and that's giving us a chance to accelerate I think what we are seeing other companies do in the region.",,,,,,,,,
Matthew Sheerin,Kevin M. Murai,"Okay, and just lastly regarding Asia, do you still have a strong presence in the components, and processors, and other PC components, and how is that business doing?","We do. It's doing well in probably the countries like China and India where there is still a fairly large wide box market, but I would say more of our growth is coming from finished systems whether that's laptops who have become very competitive on a worldwide level from the major OEM's or in networking, even software is starting to grow at healthier pace than we would have seen a few years ago as more, and more companies comfortable with buying software as opposed to coping it. So there are a number of facets that are helping us in that regard through the region.",,,,,,,,,
Brian Alexander,Kevin M. Murai,"And I guess, the first question I have relates to European profitability just to better understand. So the warehouse issue which sounds like it's kind of fully resolved, and you are starting to get efficiencies out of the German warehouse system, what was the impact if there is anyway to quantify the margins in the quarter, and could you help us think about whether that was more of a gross margin impact as you had to price more aggressively to regain market share, or is it more of an OpEx issue because you still had some extra cost that you had to incur?","Yeah, I mean it was really both. There are investments that we had to make to recapture share of both that gross margin but again investing in some marketing programs to drive incremental growth in our business as well. So, it's hard to actual quantify and break out exactly what that impact was to overall European results except, I do want just reiterate again though that I mean overall our business in Europe in many countries was very, very good, and in addition to the strong growth that we had in certain countries and some of the uptake that we saw through the quarter in Germany, we will also continue to have opportunities though as we take a look at our Italy and Hungary businesses. And that's really been the story on the margin in Europe is starting of with the improvements that we been making slowly in Germany but also a little bit dampened by Italy and Hungary.",,,,,,,,,
Brian Alexander,Kevin M. Murai ,"Okay. And then just as a follow up, when you say that you are turning the corner in Europe are you making comments more around Ingram's specific situation that is turning the corner, are you making comments more around the market turning the corner because given that it is July and usually seasonally slow around this time of the year I guess I am surprised to hear that you are just picking up now?","Yeah, that comment really is an Ingram Micro comment. I think, we are feeling pretty good about where we have come from over the past say three and half quarters, in particular the German situation. Now in addition to that though we have seen slightly stronger than typical demand at this time of the year in Europe too, so having that little bit of wind at our backs is certainly going to help our business too.",,,,,,,,,
Brian Alexander,Gregory M. Spierkel,And my final question just relates to Dell and what they might do from a two step distribution strategy. I don't know if you have any additional insights relative to last quarter that you can share in terms of your expectation as to whether they embrace two step distribution in particular geographies as they expand their channel strategy,"Brian, it is Greg here. I mean nothing really overshadowing, and you clearly... as you know Dell is an important relationship for us, one of our larger customers through the software and peripheral supply that we have into their company and we been following and monitoring like everyone is. Their recent entry into the retail space and their ongoing touching if you may have a certain portion of the S&P customers that we support across North America and they have been more public about that in the last month or two. I suspect Dell will see how things go with the retail opportunity, I expect Dell will continue to asses all routes to market. They haven't... they haven't made any avert signals to go into two tier distribution, but if you are reviewing everything and I suspect you are reviewing everything and at some point they may surprise us all but at this stage there is nothing else we can say because there is nothing else that we are aware of that they are doing in two tier right now.",,,,,,,,,
